@id,identifier,name,organizer,alternateName,startDate,endDate,location,funder,funding,keywords,url,offers,"_subEvent (deprecated)
see Event::superEvent"
mets_0014,,East Coast Ocean Acidification Cruises  ,org_013,ECOA ,2007-07-10,,place_014,org_013,,"carbon, ocean acidification, biogeochemistry, oxygen, nutrients, phytoplankton, zooplankton, bacteria",,,
mets_0015,,Booth Bay Dock,person_011,BHD,2001-11-01,,place_015,org_017,,"phytoplankton, salinity, temperature, bacteria, chlorophyll a",https://www.st.nmfs.noaa.gov/plankton/time-series/us-10401/,,
mets_0016,,Ocean Weather Station M,person_012|org_019,Station M|OWSM,1948-06-01,,place_016,org_018|org_019|org_020,,"inorganic carbon, ocean acidification, biogeochemistry, oxygen, nutrients",,,
mets_0017,,Estación Permanente de Estudios Ambientales,person_028|person_029|person_030,EPEA,2000-02-10,,place_018,org_024,monetarygrant_012|monetarygrant_015,"plankton, biooptics, biogeochemistry, temperature, salinity",https://www.argentina.gob.ar/programa-dinamica-del-plancton-marino-y-cambio-climatico/variables-medidas,,
mets_0018,,Monterey Bay Time Series,person_020|person_021,MBTS,1988-06-01,,place_017,org_022,monetarygrant_014,"biogeochemistry, nutrients, zooplankton, chlorophyll, carbon, oxygen, pp, autonomous platforms",,,
mets_0019,,Ellett Array,person_037,Ellett Array,1979-04-04,,,org_002,,,https://projects.noc.ac.uk/ellett-array/about,,
mets_0020,,CARIACO Ocean Time Series,person_034|person_035|person_036,CARIACO,1995-11-01,2017-01-30,place_019,org_026|org_027|org_028,,"hydrography, biogeochemistry, nutrients, carbon, primary productivity, phytoplankton, zooplankton, sediment traps",,,
mets_0021,,Irminger Sea TS,person_32,FX9,1983-03-05,,,org_030,,"inorganic carbon, ocean acidification, biogeochemistry, oxygen, nutrients",https://imars.usf.edu/?page_id=1027,,
mets_0022,,Iceland Sea TS,person_32,LN6,1985-02-22,,,org_030,,"inorganic carbon, ocean acidification, biogeochemistry, oxygen, nutrients",,,
mets_0023,,West Coast Ocean Acidification Cruises,org_013,WCOA,2007-05-11,,place_020,org_013,,"carbon, ocean acidification, biogeochemistry, oxygen, nutrients, phytoplankton, zooplankton, bacteria",,,
mets_0024,,Gulf of Mexico Ocean Acidification Cruises,org_013,GOMECC,2007-07-10,,place_021,org_013,,"carbon, ocean acidification, biogeochemistry, oxygen, nutrients, phytoplankton, zooplankton, bacteria",,,
mets_0025,,RAPID 26North,org_002,RAPID,,,,,,,https://rapid.ac.uk/,,
